unix_time,datetime,temp_c,arm_clock_hz,throttled
1785056638,2026-07-26 17:03:58,83.2,1726417920,0x80008
1785056640,2026-07-26 17:04:00,82.7,1800457088,0x80000
1785056642,2026-07-26 17:04:02,81.8,1726417920,0x80008
1785056644,2026-07-26 17:04:04,82.7,1726417920,0x80008
1785056646,2026-07-26 17:04:06,82.7,1775460992,0x80008
1785056648,2026-07-26 17:04:08,82.3,1775460992,0x80008
1785056650,2026-07-26 17:04:10,83.2,1775460992,0x80008
1785056652,2026-07-26 17:04:12,82.7,1726417920,0x80008
1785056654,2026-07-26 17:04:14,81.8,1726417920,0x80000
1785056656,2026-07-26 17:04:16,82.7,1775408256,0x80008
1785056658,2026-07-26 17:04:18,82.3,1775408256,0x80008
1785056660,2026-07-26 17:04:20,82.7,1726417920,0x80008
1785056662,2026-07-26 17:04:22,82.7,1726470656,0x80008
1785056664,2026-07-26 17:04:24,82.3,1775408256,0x80008
1785056666,2026-07-26 17:04:26,82.7,1726417920,0x80008
1785056668,2026-07-26 17:04:28,82.7,1726417920,0x80008
1785056671,2026-07-26 17:04:31,82.7,1775460992,0x80008
1785056673,2026-07-26 17:04:33,83.2,1775408256,0x80008
1785056675,2026-07-26 17:04:35,81.8,1800404352,0x80000
1785056677,2026-07-26 17:04:37,83.2,1677374976,0x80008
1785056679,2026-07-26 17:04:39,82.3,1677374976,0x80008
1785056681,2026-07-26 17:04:41,82.7,1726417920,0x80008
1785056683,2026-07-26 17:04:43,82.3,1726417920,0x80008
1785056685,2026-07-26 17:04:45,82.3,1775408256,0x80008
1785056687,2026-07-26 17:04:47,83.2,1677427712,0x80008
1785056689,2026-07-26 17:04:49,82.7,1775460992,0x80008
1785056691,2026-07-26 17:04:51,82.7,1677427712,0x80008
1785056693,2026-07-26 17:04:53,82.3,1775408256,0x80008
1785056695,2026-07-26 17:04:55,83.2,1775460992,0x80000
1785056697,2026-07-26 17:04:57,81.8,1775408256,0x80008
1785056699,2026-07-26 17:04:59,82.7,1726417920,0x80008
1785056701,2026-07-26 17:05:01,83.2,1775408256,0x80008
1785056703,2026-07-26 17:05:03,82.7,1677374976,0x80008
1785056705,2026-07-26 17:05:05,82.3,1775460992,0x80008
1785056707,2026-07-26 17:05:07,82.3,1775408256,0x80008
1785056709,2026-07-26 17:05:09,82.3,1775408256,0x80008
1785056711,2026-07-26 17:05:11,82.3,1775408256,0x80008
1785056713,2026-07-26 17:05:13,82.3,1677427712,0x80008
1785056715,2026-07-26 17:05:15,83.2,1677427712,0x80008
1785056717,2026-07-26 17:05:17,82.3,1726417920,0x80008
1785056719,2026-07-26 17:05:19,82.7,1775408256,0x80008
1785056721,2026-07-26 17:05:21,82.7,1629386752,0x80008
1785056723,2026-07-26 17:05:23,83.7,1629439488,0x80008
1785056726,2026-07-26 17:05:26,81.8,1775408256,0x80000
1785056728,2026-07-26 17:05:28,82.7,1775460992,0x80008
1785056730,2026-07-26 17:05:30,82.7,1775460992,0x80008
1785056732,2026-07-26 17:05:32,83.7,1629386752,0x80008
1785056734,2026-07-26 17:05:34,82.7,1800404352,0x80000
1785056736,2026-07-26 17:05:36,82.7,1726417920,0x80008
1785056738,2026-07-26 17:05:38,81.8,1726417920,0x80008
1785056740,2026-07-26 17:05:40,82.3,1775460992,0x80008
1785056742,2026-07-26 17:05:42,82.7,1726417920,0x80008
1785056744,2026-07-26 17:05:44,82.3,1775408256,0x80008
1785056746,2026-07-26 17:05:46,82.7,1726417920,0x80008
1785056748,2026-07-26 17:05:48,82.7,1629386752,0x80008
1785056750,2026-07-26 17:05:50,82.3,1726417920,0x80008
1785056752,2026-07-26 17:05:52,80.8,1629439488,0x80008
1785056754,2026-07-26 17:05:54,82.7,1677374976,0x80008
1785056756,2026-07-26 17:05:56,81.8,1800457088,0x80000
1785056758,2026-07-26 17:05:58,82.3,1800457088,0x80000
1785056760,2026-07-26 17:06:00,81.8,1775460992,0x80008
1785056762,2026-07-26 17:06:02,82.7,1677427712,0x80008
1785056764,2026-07-26 17:06:04,82.7,1677427712,0x80008
1785056766,2026-07-26 17:06:06,83.2,1775408256,0x80008
1785056768,2026-07-26 17:06:08,82.3,1677427712,0x80008
1785056770,2026-07-26 17:06:10,81.3,1775460992,0x80008
1785056772,2026-07-26 17:06:12,82.7,1726417920,0x80008
1785056774,2026-07-26 17:06:14,81.3,1677427712,0x80008
1785056776,2026-07-26 17:06:16,82.3,1775408256,0x80008
1785056778,2026-07-26 17:06:18,82.3,1775460992,0x80008
1785056781,2026-07-26 17:06:21,81.8,1800404352,0x80000
1785056783,2026-07-26 17:06:23,82.3,1775408256,0x80008
1785056785,2026-07-26 17:06:25,82.3,1775408256,0x80008
1785056787,2026-07-26 17:06:27,82.3,1726417920,0x80008
1785056789,2026-07-26 17:06:29,82.7,1726417920,0x80008
1785056791,2026-07-26 17:06:31,82.3,1726417920,0x80008
1785056793,2026-07-26 17:06:33,82.3,1800404352,0x80000
1785056795,2026-07-26 17:06:35,81.8,1726417920,0x80008
1785056797,2026-07-26 17:06:37,83.2,1677374976,0x80008
1785056799,2026-07-26 17:06:39,81.8,1800404352,0x80000
1785056801,2026-07-26 17:06:41,82.7,1800457088,0x80008
1785056803,2026-07-26 17:06:43,82.3,1800404352,0x80000
1785056805,2026-07-26 17:06:45,82.7,1677427712,0x80008
1785056807,2026-07-26 17:06:47,82.7,1775460992,0x80008
1785056809,2026-07-26 17:06:49,82.3,1800457088,0x80000
1785056811,2026-07-26 17:06:51,82.7,1726417920,0x80008
1785056813,2026-07-26 17:06:53,83.2,1775460992,0x80008
1785056815,2026-07-26 17:06:55,82.3,1775460992,0x80008
1785056817,2026-07-26 17:06:57,81.8,1800457088,0x80000
1785056819,2026-07-26 17:06:59,82.7,1775460992,0x80008
1785056821,2026-07-26 17:07:01,81.3,1726417920,0x80008
1785056823,2026-07-26 17:07:03,82.3,1800457088,0x80000
1785056825,2026-07-26 17:07:05,82.3,1800457088,0x80000
1785056827,2026-07-26 17:07:07,82.7,1800457088,0x80000
1785056829,2026-07-26 17:07:09,81.8,1726417920,0x80008
1785056831,2026-07-26 17:07:11,81.3,1775460992,0x80008
1785056833,2026-07-26 17:07:14,82.7,1775460992,0x80008
1785056836,2026-07-26 17:07:16,82.3,1775460992,0x80008
1785056838,2026-07-26 17:07:18,83.7,1775408256,0x80008
1785056840,2026-07-26 17:07:20,81.8,1775408256,0x80008
1785056842,2026-07-26 17:07:22,82.3,1775460992,0x80008
1785056844,2026-07-26 17:07:24,82.3,1775408256,0x80008
1785056846,2026-07-26 17:07:26,81.8,1800457088,0x80000
1785056848,2026-07-26 17:07:28,82.3,1726417920,0x80008
1785056850,2026-07-26 17:07:30,81.8,1775460992,0x80008
1785056852,2026-07-26 17:07:32,82.7,1726417920,0x80008
1785056854,2026-07-26 17:07:34,81.3,1800457088,0x80000
1785056856,2026-07-26 17:07:36,83.7,1629386752,0x80000
1785056858,2026-07-26 17:07:38,83.2,1775460992,0x80008
1785056860,2026-07-26 17:07:40,81.8,1775460992,0x80008
1785056862,2026-07-26 17:07:42,82.3,1775408256,0x80008
1785056864,2026-07-26 17:07:44,81.8,1800404352,0x80000
1785056866,2026-07-26 17:07:46,82.3,1775408256,0x80000
1785056868,2026-07-26 17:07:48,82.7,1677374976,0x80008
1785056870,2026-07-26 17:07:50,81.8,1677374976,0x80008
1785056872,2026-07-26 17:07:52,82.3,1775460992,0x80008
1785056874,2026-07-26 17:07:54,82.7,1726417920,0x80008
1785056876,2026-07-26 17:07:56,83.2,1800457088,0x80000
1785056878,2026-07-26 17:07:58,82.7,1726417920,0x80008
1785056880,2026-07-26 17:08:00,82.7,1775408256,0x80008
1785056882,2026-07-26 17:08:02,81.8,1726417920,0x80008
1785056884,2026-07-26 17:08:04,82.3,1677427712,0x80008
1785056886,2026-07-26 17:08:06,82.7,1677374976,0x80008
1785056889,2026-07-26 17:08:09,81.8,1800457088,0x80000
1785056891,2026-07-26 17:08:11,82.7,1726417920,0x80008
1785056893,2026-07-26 17:08:13,82.7,1726417920,0x80008
1785056895,2026-07-26 17:08:15,83.2,1800457088,0x80000
1785056897,2026-07-26 17:08:17,82.7,1726417920,0x80008
1785056899,2026-07-26 17:08:19,83.2,1775408256,0x80008
1785056901,2026-07-26 17:08:21,82.7,1726417920,0x80008
1785056903,2026-07-26 17:08:23,82.7,1775460992,0x80008
1785056905,2026-07-26 17:08:25,82.7,1726417920,0x80008
1785056907,2026-07-26 17:08:27,83.2,1677374976,0x80008
1785056909,2026-07-26 17:08:29,82.7,1775460992,0x80000
1785056911,2026-07-26 17:08:31,82.3,1800457088,0x80000
1785056913,2026-07-26 17:08:33,82.3,1775460992,0x80008
1785056915,2026-07-26 17:08:35,82.3,1775460992,0x80008
1785056917,2026-07-26 17:08:37,82.7,1800404352,0x80000
1785056919,2026-07-26 17:08:39,82.3,1677427712,0x80008
1785056921,2026-07-26 17:08:41,81.8,1726417920,0x80000
1785056923,2026-07-26 17:08:43,82.7,1775460992,0x80008
1785056925,2026-07-26 17:08:45,81.8,1775460992,0x80008
1785056927,2026-07-26 17:08:47,82.7,1775408256,0x80008
1785056929,2026-07-26 17:08:49,82.7,1677427712,0x80008
1785056931,2026-07-26 17:08:51,82.7,1775460992,0x80008
1785056933,2026-07-26 17:08:53,81.8,1775460992,0x80008
1785056935,2026-07-26 17:08:55,82.3,1800457088,0x80000
1785056937,2026-07-26 17:08:57,82.7,1775460992,0x80008
1785056939,2026-07-26 17:08:59,82.7,1726417920,0x80008
1785056942,2026-07-26 17:09:02,82.3,1800404352,0x80000
1785056944,2026-07-26 17:09:04,82.3,1775408256,0x80008
1785056946,2026-07-26 17:09:06,82.7,1775460992,0x80008
1785056948,2026-07-26 17:09:08,83.7,1629386752,0x80008
1785056950,2026-07-26 17:09:10,83.2,1800404352,0x80000
1785056952,2026-07-26 17:09:12,82.3,1800404352,0x80000
1785056954,2026-07-26 17:09:14,82.7,1800457088,0x80000
1785056956,2026-07-26 17:09:16,82.7,1775408256,0x80008
1785056958,2026-07-26 17:09:18,81.8,1775460992,0x80008
1785056960,2026-07-26 17:09:20,82.3,1775460992,0x80000
1785056962,2026-07-26 17:09:22,82.7,1800457088,0x80008
1785056964,2026-07-26 17:09:24,82.3,1800404352,0x80000
1785056966,2026-07-26 17:09:26,82.7,1726417920,0x80008
1785056968,2026-07-26 17:09:28,82.7,1726470656,0x80008
1785056970,2026-07-26 17:09:30,82.3,1726417920,0x80008
1785056972,2026-07-26 17:09:32,82.7,1775460992,0x80008
1785056974,2026-07-26 17:09:34,82.3,1800457088,0x80000
1785056976,2026-07-26 17:09:36,81.8,1775408256,0x80000
1785056978,2026-07-26 17:09:38,81.8,1726417920,0x80008
1785056980,2026-07-26 17:09:40,83.7,1726417920,0x80008
1785056982,2026-07-26 17:09:42,82.3,1775460992,0x80008
1785056984,2026-07-26 17:09:44,82.7,1800457088,0x80000
1785056986,2026-07-26 17:09:46,82.3,1677427712,0x80008
1785056988,2026-07-26 17:09:48,82.7,1726417920,0x80008
1785056990,2026-07-26 17:09:50,82.3,1775460992,0x80008
1785056992,2026-07-26 17:09:52,81.8,1775408256,0x80008
1785056995,2026-07-26 17:09:55,82.3,1800457088,0x80000
1785056997,2026-07-26 17:09:57,82.7,1726417920,0x80008
1785056999,2026-07-26 17:09:59,82.3,1775460992,0x80008
1785057001,2026-07-26 17:10:01,82.3,1775408256,0x80008
1785057003,2026-07-26 17:10:03,82.3,1726417920,0x80008
1785057005,2026-07-26 17:10:05,81.8,1726417920,0x80008
1785057007,2026-07-26 17:10:07,81.8,1726417920,0x80008
1785057009,2026-07-26 17:10:09,82.7,1726470656,0x80008
1785057011,2026-07-26 17:10:11,82.7,1726417920,0x80008
1785057013,2026-07-26 17:10:13,82.3,1775408256,0x80008
1785057015,2026-07-26 17:10:15,82.3,1775408256,0x80008
1785057017,2026-07-26 17:10:17,82.7,1677427712,0x80008
1785057019,2026-07-26 17:10:19,81.8,1677427712,0x80008
1785057021,2026-07-26 17:10:21,82.7,1800404352,0x80000
1785057023,2026-07-26 17:10:23,83.2,1677374976,0x80008
1785057025,2026-07-26 17:10:25,82.3,1629386752,0x80008
1785057027,2026-07-26 17:10:27,82.7,1629386752,0x80008
1785057029,2026-07-26 17:10:29,81.8,1775460992,0x80008
