timestamp,elapsed_s,cpu_usage_percent,soc_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 22:43:47,1131,1.0,50.6,1800.0,18.7
2026-07-27 22:43:49,1133,1.9,49.7,600.0,18.7
2026-07-27 22:43:50,1134,3.2,50.6,700.0,18.7
2026-07-27 22:43:51,1135,1.9,50.6,700.0,18.7
2026-07-27 22:43:52,1136,3.5,50.6,1800.0,18.7
2026-07-27 22:43:53,1137,1.2,51.6,1800.0,18.7
2026-07-27 22:43:54,1138,1.0,50.6,1800.0,18.7
2026-07-27 22:43:55,1139,1.5,51.1,1800.0,18.8
2026-07-27 22:43:56,1140,1.7,50.6,1800.0,18.8
2026-07-27 22:43:57,1141,1.0,51.6,600.0,18.8
2026-07-27 22:43:58,1142,2.8,50.6,600.0,18.8
2026-07-27 22:43:59,1143,3.2,51.1,600.0,18.8
2026-07-27 22:44:00,1144,3.2,51.1,1200.0,18.8
2026-07-27 22:44:01,1145,1.4,50.6,600.0,18.8
2026-07-27 22:44:02,1146,3.5,51.1,600.0,18.8
2026-07-27 22:44:03,1147,3.5,50.6,1800.0,18.8
2026-07-27 22:44:04,1148,0.7,51.1,1800.0,18.8
2026-07-27 22:44:05,1149,1.4,51.1,1800.0,18.8
2026-07-27 22:44:06,1150,1.5,51.6,1800.0,18.8
2026-07-27 22:44:08,1152,1.0,51.1,1800.0,18.8
2026-07-27 22:44:09,1153,1.7,50.1,600.0,18.8
2026-07-27 22:44:10,1154,3.5,51.1,1800.0,18.8
2026-07-27 22:44:11,1155,0.7,52.1,1800.0,18.8
2026-07-27 22:44:12,1156,1.7,51.1,1800.0,18.8
2026-07-27 22:44:13,1157,1.5,52.1,1800.0,18.7
2026-07-27 22:44:14,1158,1.0,52.1,1800.0,18.7
2026-07-27 22:44:15,1159,1.2,50.1,600.0,18.7
2026-07-27 22:44:16,1160,3.5,51.1,1800.0,18.8
2026-07-27 22:44:17,1161,1.0,51.6,1800.0,18.8
2026-07-27 22:44:18,1162,1.4,50.6,1800.0,18.8
2026-07-27 22:44:19,1163,1.4,50.6,1800.0,18.8
2026-07-27 22:44:20,1164,1.5,51.1,1800.0,18.8
