unix_time,datetime,total_percent,cpu0_percent,cpu1_percent,cpu2_percent,cpu3_percent
1785057890,2026-07-26 17:24:50,3.3,2.0,5.5,3.0,3.0
1785057892,2026-07-26 17:24:52,1.4,0.5,4.0,0.5,0.5
1785057894,2026-07-26 17:24:54,1.1,0.5,3.0,1.0,0.0
1785057896,2026-07-26 17:24:56,2.9,0.5,8.0,1.0,1.0
1785057898,2026-07-26 17:24:58,3.0,1.0,6.6,3.0,1.0
1785057900,2026-07-26 17:25:00,2.5,3.0,4.0,2.5,0.5
1785057902,2026-07-26 17:25:02,3.8,0.5,8.5,4.5,1.5
1785057904,2026-07-26 17:25:04,2.8,2.0,4.0,3.0,2.5
1785057906,2026-07-26 17:25:06,1.4,0.5,1.5,2.5,1.0
1785057908,2026-07-26 17:25:08,1.1,1.0,1.0,1.5,1.0
1785057910,2026-07-26 17:25:10,3.0,1.0,5.0,4.5,1.0
1785057912,2026-07-26 17:25:12,3.1,1.5,4.0,6.5,1.0
1785057914,2026-07-26 17:25:14,3.4,2.5,4.0,5.5,1.0
1785057916,2026-07-26 17:25:16,3.5,1.0,1.5,10.5,1.0
1785057918,2026-07-26 17:25:18,3.2,1.5,2.0,7.5,2.0
1785057920,2026-07-26 17:25:20,1.0,0.0,1.5,2.0,1.0
1785057922,2026-07-26 17:25:22,1.8,1.0,0.5,4.0,2.0
1785057924,2026-07-26 17:25:24,3.0,1.5,3.0,4.0,2.5
1785057926,2026-07-26 17:25:26,2.8,2.0,3.5,5.0,1.0
1785057928,2026-07-26 17:25:28,1.9,1.5,1.0,5.0,0.5
1785057930,2026-07-26 17:25:30,1.7,0.5,2.0,3.0,0.0
1785057932,2026-07-26 17:25:32,1.6,1.5,1.0,3.0,1.5
1785057934,2026-07-26 17:25:34,2.9,3.0,3.5,4.0,1.5
1785057936,2026-07-26 17:25:36,2.1,1.0,6.5,0.5,0.5
1785057938,2026-07-26 17:25:38,1.3,1.0,2.5,0.5,1.0
1785057940,2026-07-26 17:25:40,2.3,0.5,4.5,1.5,2.5
1785057942,2026-07-26 17:25:42,3.6,0.5,8.6,1.0,4.5
1785057944,2026-07-26 17:25:44,2.9,2.0,6.0,3.0,1.0
1785057946,2026-07-26 17:25:46,1.9,0.0,4.0,1.5,0.5
1785057948,2026-07-26 17:25:48,1.5,1.0,3.5,2.0,1.0
1785057950,2026-07-26 17:25:50,1.4,1.0,2.0,1.5,0.0
1785057952,2026-07-26 17:25:52,2.5,1.5,5.5,2.0,1.5
1785057954,2026-07-26 17:25:54,1.3,1.0,2.5,1.0,0.0
1785057956,2026-07-26 17:25:56,1.6,1.0,4.0,1.5,0.5
1785057958,2026-07-26 17:25:58,2.3,1.0,5.5,2.5,0.5
1785057960,2026-07-26 17:26:00,1.3,0.0,2.5,1.0,0.5
1785057962,2026-07-26 17:26:02,1.7,1.0,3.5,2.0,1.0
1785057964,2026-07-26 17:26:04,2.8,2.0,4.5,3.0,1.5
1785057966,2026-07-26 17:26:06,3.1,0.5,8.0,2.0,1.5
1785057968,2026-07-26 17:26:08,3.4,1.5,7.0,5.0,0.5
1785057970,2026-07-26 17:26:10,2.5,1.5,3.5,4.5,0.5
1785057972,2026-07-26 17:26:12,1.3,0.0,2.0,1.5,1.0
1785057974,2026-07-26 17:26:14,1.0,0.5,1.0,0.5,2.0
1785057976,2026-07-26 17:26:16,3.0,1.0,4.5,3.5,3.5
1785057978,2026-07-26 17:26:18,1.3,1.0,1.5,1.5,1.0
1785057980,2026-07-26 17:26:20,1.0,0.5,1.0,1.5,0.5
1785057982,2026-07-26 17:26:22,3.6,2.5,3.5,3.0,5.5
1785057984,2026-07-26 17:26:24,1.3,2.0,2.0,0.5,1.5
1785057986,2026-07-26 17:26:26,1.1,0.5,2.5,1.0,0.0
1785057988,2026-07-26 17:26:28,3.5,3.5,4.0,3.5,3.0
1785057990,2026-07-26 17:26:30,1.3,1.5,1.0,1.5,0.5
1785057992,2026-07-26 17:26:32,1.5,1.0,2.0,1.0,2.0
1785057994,2026-07-26 17:26:34,2.6,1.0,3.0,5.0,1.0
1785057996,2026-07-26 17:26:36,1.0,1.5,1.0,2.0,0.5
1785057998,2026-07-26 17:26:38,1.3,1.0,1.5,1.0,0.5
1785058000,2026-07-26 17:26:40,2.1,2.5,2.5,2.5,1.5
1785058002,2026-07-26 17:26:42,3.5,4.5,4.5,4.0,1.0
1785058004,2026-07-26 17:26:44,2.1,3.0,1.5,4.0,0.5
1785058006,2026-07-26 17:26:46,1.5,2.0,1.0,1.5,1.0
1785058008,2026-07-26 17:26:48,1.0,1.5,0.5,2.0,0.0
1785058010,2026-07-26 17:26:50,1.8,3.0,1.5,2.5,0.5
1785058012,2026-07-26 17:26:52,3.7,4.0,4.5,5.0,1.5
1785058014,2026-07-26 17:26:54,3.1,3.0,3.5,5.6,1.0
1785058016,2026-07-26 17:26:56,1.4,0.5,2.5,1.0,0.0
1785058018,2026-07-26 17:26:58,1.3,1.0,3.0,1.5,0.5
1785058020,2026-07-26 17:27:00,2.1,2.5,1.5,4.5,0.0
1785058022,2026-07-26 17:27:02,3.3,6.5,1.0,4.5,0.5
1785058024,2026-07-26 17:27:04,2.9,3.5,2.0,4.5,2.0
1785058026,2026-07-26 17:27:06,3.1,2.0,7.0,3.5,0.5
1785058028,2026-07-26 17:27:08,2.8,3.5,2.0,4.0,1.0
1785058030,2026-07-26 17:27:10,1.9,1.0,1.5,2.0,3.0
1785058032,2026-07-26 17:27:12,1.5,1.0,1.5,1.5,1.0
1785058034,2026-07-26 17:27:14,1.8,2.0,1.0,3.0,1.5
1785058036,2026-07-26 17:27:16,3.6,3.5,3.0,2.5,5.9
1785058038,2026-07-26 17:27:18,2.8,3.5,1.5,3.5,3.5
1785058040,2026-07-26 17:27:20,2.4,1.5,1.0,5.0,1.0
1785058042,2026-07-26 17:27:22,1.3,1.5,1.5,1.0,1.0
1785058044,2026-07-26 17:27:24,1.9,2.5,1.5,2.5,1.5
1785058046,2026-07-26 17:27:26,3.5,5.4,2.5,2.5,3.5
1785058048,2026-07-26 17:27:28,3.2,2.0,2.0,5.5,1.5
1785058050,2026-07-26 17:27:30,2.9,6.0,1.5,4.0,1.5
1785058052,2026-07-26 17:27:32,3.4,3.5,4.0,4.0,2.0
1785058054,2026-07-26 17:27:34,3.3,3.5,1.0,7.0,2.0
1785058056,2026-07-26 17:27:36,3.5,5.5,0.5,6.5,1.5
1785058058,2026-07-26 17:27:38,2.6,3.5,3.0,2.5,1.5
1785058060,2026-07-26 17:27:40,3.3,4.0,1.0,6.6,1.0
1785058062,2026-07-26 17:27:42,3.3,4.5,1.0,6.0,1.5
1785058064,2026-07-26 17:27:44,2.5,4.0,1.5,2.5,1.5
1785058066,2026-07-26 17:27:46,1.1,2.5,1.0,1.5,0.5
1785058068,2026-07-26 17:27:48,1.1,0.0,2.5,1.5,0.5
1785058070,2026-07-26 17:27:50,2.6,4.5,2.5,1.5,1.5
1785058072,2026-07-26 17:27:52,3.0,3.0,7.0,1.5,1.0
1785058074,2026-07-26 17:27:54,1.5,2.5,2.0,1.0,0.5
1785058076,2026-07-26 17:27:56,1.4,1.5,3.0,0.5,1.0
1785058078,2026-07-26 17:27:58,3.1,4.5,3.5,3.0,1.5
1785058080,2026-07-26 17:28:00,3.4,4.0,5.5,2.0,1.0
1785058082,2026-07-26 17:28:02,3.3,3.5,1.5,5.0,3.0
1785058084,2026-07-26 17:28:04,1.1,1.5,1.5,1.5,0.0
1785058086,2026-07-26 17:28:06,1.5,1.5,1.5,3.0,1.0
1785058088,2026-07-26 17:28:08,2.6,4.0,2.0,2.0,1.0
1785058090,2026-07-26 17:28:10,2.3,3.5,2.0,3.0,1.5
1785058092,2026-07-26 17:28:12,3.4,4.0,2.0,5.9,1.5
1785058094,2026-07-26 17:28:14,3.0,1.5,4.0,5.6,1.0
1785058096,2026-07-26 17:28:16,3.0,0.5,3.5,6.5,1.5
1785058098,2026-07-26 17:28:18,2.6,2.5,3.5,3.5,1.0
1785058100,2026-07-26 17:28:20,3.1,3.0,1.0,6.5,1.5
